timestamp,card_number,amount,type,status
2025-06-15T12:25:37.174604,3584638786784806,157.41,withdrawal,pending
2025-06-15T12:25:37.174650,4759557390678,12.32,withdrawal,pending
2025-06-15T12:25:37.174673,501827182087,243.96,withdrawal,failed
2025-06-15T12:25:37.174718,4740371709734968,246.74,deposit,completed
2025-06-15T12:25:37.174744,4689018207312655,48.3,deposit,completed
2025-06-15T12:25:37.174768,4737421629336694,213.74,withdrawal,pending
2025-06-15T12:25:37.174791,4297395068773272,272.17,deposit,completed
2025-06-15T12:25:37.174816,213137719449384,145.66,withdrawal,pending
2025-06-15T12:25:37.174837,370913915551614,76.28,deposit,failed
2025-06-15T12:25:37.174858,4171891096935451117,73.72,withdrawal,completed
2025-06-15T12:25:37.174884,4931192987230935387,214.59,deposit,pending
2025-06-15T12:25:37.174909,4876736239855,12.63,withdrawal,completed
2025-06-15T12:25:37.174932,4777831270666247260,228.47,deposit,pending
2025-06-15T12:25:37.174958,4747743866701050,60.36,withdrawal,failed
2025-06-15T12:25:37.174980,6587424537108599,73.41,withdrawal,completed
