timestamp,card_number,amount,type,status
2025-06-15T12:25:37.173966,30331570389901,108.14,deposit,failed
2025-06-15T12:25:37.174079,060474570250,86.7,withdrawal,completed
2025-06-15T12:25:37.174121,4870156532373841,116.15,withdrawal,pending
2025-06-15T12:25:37.174159,4841289285985761065,123.24,withdrawal,completed
2025-06-15T12:25:37.174197,630433538349,231.9,withdrawal,pending
2025-06-15T12:25:37.174225,344084063027741,22.15,withdrawal,pending
2025-06-15T12:25:37.174256,38843679157072,177.74,withdrawal,failed
2025-06-15T12:25:37.174285,4268326598496,184.22,withdrawal,pending
2025-06-15T12:25:37.174314,6514123534465469,74.61,withdrawal,pending
2025-06-15T12:25:37.174345,6504426348089983,221.52,deposit,failed
2025-06-15T12:25:37.174376,3599652930772073,162.71,deposit,pending
2025-06-15T12:25:37.174407,4111562369002305,220.45,deposit,completed
2025-06-15T12:25:37.174447,501887913686,184.24,deposit,failed
2025-06-15T12:25:37.174473,30041531563219,48.08,withdrawal,failed
2025-06-15T12:25:37.174501,2526034988252516,168.59,withdrawal,failed
